Title,Partner,Description,Rating_Reviews,Details,URL,Page
Workday Human Capital Management for Business Users,Workday,,132 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/workday-human-capital-management,24
Claude Code in Action,Anthropic,,33 reviews,Mixed · Course · 1 - 4 Weeks,https://www.coursera.org/learn/claude-code-in-action,24
Google Workspace Administrator,Google Cloud,,1.5K reviews,Beginner · Professional Certificate · 1 - 4 Weeks,https://www.coursera.org/professional-certificates/g-suite-administration,24
Unlock Business Insights with Microsoft Excel and Power BI,Microsoft,,781 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/unlock-business-insights-with-microsoft-excel-and-power-bi,25
Introduction to Cosmetic Science and Ingredients,Olay,,563 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/introduction-to-cosmetic-science,25
Introduction to Financial Accounting,University of Pennsylvania,,8.5K reviews,Mixed · Course · 1 - 4 Weeks,https://www.coursera.org/learn/wharton-accounting,25
Prompt Engineering for ChatGPT,Vanderbilt University,,7.7K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/prompt-engineering,25
Excel Skills for Business: Essentials,Macquarie University,"Skills you'll gain: Excel Formulas, Microsoft Excel, Spreadsheet Software, Microsoft Office, Data Analysis Expressions (DAX), Productivity Software, Data Analysis Software, Business Analytics, Analytical Skills",51K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/excel-essentials,25
Security in Google Cloud,Google Cloud,,49K reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/security-google-cloud-platform,25
AWS Fundamentals,Amazon Web Services,,6.8K reviews,Beginner · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/aws-fundamentals,25
Epic Games Game Design,Epic Games,,604 reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/epic-games-game-design-professional-certificate,25
IBM Program Manager,IBM,,2.9K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-program-manager,25
Medical Office Procedures and Administration Fundamentals,MedCerts,,1.1K reviews,Beginner · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/medical-office-procedures-and-administration-fundamentals,25
Introduction to Mathematical Thinking,Stanford University,,3K reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/mathematical-thinking,25
Generative AI: Introduction and Applications,IBM,,4.2K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/generative-ai-introduction-and-applications,25
Financial Engineering and Risk Management,Columbia University,,420 reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/financialengineering,26
Human Resource Management: HR for People Managers,University of Minnesota,,16K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/human-resource-management,26
Creative Content Creation Toolkit,Coursera,,368 reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/creative-content-creation-toolkit,26
"Brand Management: Aligning Business, Brand and Behaviour",University of London,,7.8K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/brand,26
Share Data Through the Art of Visualization,Google,,9.9K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/visualize-data,26
"Influencing: Storytelling, Change Management and Governance",Macquarie University,,4.7K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/influencing-storytelling-change-management,26
IBM Hybrid Cloud Architect,IBM,,7.7K reviews,Intermediate · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-hybrid-cloud-architect,26
Reinforcement Learning,University of Alberta,,3.6K reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/reinforcement-learning,26
Google Cloud Digital Leader Training,Google Cloud,,4.8K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/google-cloud-digital-leader-training,26
Google Cloud Data Analytics,Google Cloud,,226 reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/google-cloud-data-analytics-certificate,26
Vibe Coding Essentials - Build Apps with AI,Scrimba,,325 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/vibe-coding,26
Capstone: Applying Project Management in the Real World,Google,"Skills you'll gain: Sprint Retrospectives, Project Management, Quality Management, Milestones (Project Management), Stakeholder Management, Project Implementation, AI Enablement, Project Closure, Interviewing Skills, Project Scoping, Smart Goals, Project Documentation, Project Planning, Stakeholder Analysis, Project Estimation, Communication, Problem Solving",13K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/applying-project-management,26
DeepLearning.AI TensorFlow Developer,DeepLearning.AI,,25K reviews,Intermediate · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/tensorflow-in-practice,27
Strategic Leadership and Management,University of Illinois Urbana-Champaign,,10K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/strategic-leadership,27
Introduction to Philosophy,The University of Edinburgh,,9.7K reviews,Mixed · Course · 3 - 6 Months,https://www.coursera.org/learn/philosophy,27
Mathematics for Machine Learning,Imperial College London,,15K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/mathematics-machine-learning,27
Mergers and Acquisitions,University of Illinois Urbana-Champaign,,668 reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/mergersandacquisitions,27
Create a High-Performing Team,Google,,245 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/google-create-a-high-performing-team,27
Meta Data Analyst,Meta,,1.8K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/meta-data-analyst,27
"Unsupervised Learning, Recommenders, Reinforcement Learning",DeepLearning.AI,,5.5K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/unsupervised-learning-recommenders-reinforcement-learning,27
Microsoft Power BI and Power Platform for Productivity,Microsoft,,763 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/microsoft-power-bi-and-power-platform-productivity,27
Crash Course on Python,Google,,40K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/python-crash-course,27
System Administration and IT Infrastructure Services,Google,,26K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/system-administration-it-infrastructure-services,27
IT Fundamentals for Cybersecurity,IBM,,22K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/it-fundamentals-cybersecurity,27
Microsoft AI & ML Engineering,Microsoft,,344 reviews,Intermediate · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/microsoft-ai-and-ml-engineering,28
Preparing for Google Cloud Certification: Cloud Data Engr,Google Cloud,,4.9K reviews,Intermediate · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/gcp-data-engineering,28
Airbus Supply Chain Specialist,Airbus Beyond,,15 reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/airbus-supply-chain-specialist,28
Intellectual Property Law,University of Pennsylvania,,1.6K reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/introduction-intellectual-property,28
Successful Negotiation: Essential Strategies and Skills,University of Michigan,,20K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/negotiation-skills,28
Risk Management,New York Institute of Finance,,1.6K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/risk-management,28
PMP Exam Prep Certification Training,"University of Maryland, College Park",,221 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/pmp-exam-prep-certification-training,28
"Data Engineering, Big Data, and Machine Learning on GCP",Google Cloud,,4.4K reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/gcp-data-machine-learning,28
Electronic Health Record/Reimbursement Fundamentals,MedCerts,,962 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/eletronic-health-recrord-reimbursement-fundamentals,28
Understanding the Brain: The Neurobiology of Everyday Life,The University of Chicago,,3.2K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/neurobiology,28
Amazon Junior Software Developer,Amazon,,544 reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/amazon-junior-software-developer,28
Career Success,"University of California, Irvine",,45K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/career-success,28
Mental Health Care Fundamentals,MedCerts,,1K reviews,Beginner · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/mental-health-care-fundamentals,29
Microsoft Full-Stack Developer,Microsoft,,399 reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/microsoft-full-stack-developer,29
"Assets, Threats, and Vulnerabilities",Google,,4.1K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/assets-threats-and-vulnerabilities,29
Digital Marketing,University of Illinois Urbana-Champaign,,23K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/digital-marketing,29
IBM Mainframe Developer,IBM,,1.3K reviews,Intermediate · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-mainframe-developer,29
Google Marketing Digital e E-Commerce,Google,,4.7K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/certificado-de-carrera-de-google-marketing-digital-e-e-commerce,29
Gen AI: Beyond the Chatbot,Google Cloud,,545 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/gen-ai-beyond-the-chatbot,29
IT Security: Defense against the digital dark arts,Google,,26K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/it-security,29
Leading People and Teams,University of Michigan,"Skills you'll gain: Talent Management, Goal Setting, Team Building, Teamwork, Team Management, Talent Pipelining, Influencing, Team Motivation, Visionary, Team Leadership, People Development, Smart Goals, Employee Onboarding, Team Performance Management, Employee Coaching, Conflict Management, Interviewing Skills, Persuasive Communication, Leadership, Business Leadership",12K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/leading-teams,29
Introduction to Programming with Python and Java,University of Pennsylvania,,1.9K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/programming-python-java,29
IA Para Todos (Español),DeepLearning.AI,,1.4K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/ai-for-everyone-es,29
From Likes to Leads: Interact with Customers Online,Google,,4K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/from-likes-to-leads,29
Preparing Data for Analysis with Microsoft Excel,Microsoft,,5.5K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/preparing-data-for-analysis-with-microsoft-excel,30
Meta React,Meta,,3.7K reviews,Intermediate · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/meta-react-specialization,30
People & Soft Skills: Essential for Professional Success,IBM,"Skills you'll gain: Active Listening, Problem Solving, Presentations, Collaboration, Root Cause Analysis, Interpersonal Communications, Conflict Management, Constructive Feedback, Professional Development, Communication, Social Skills, Virtual Teams, Collaborative Software, Teamwork, Public Speaking, Complex Problem Solving, Persuasive Communication, Professionalism, Accountability, Time Management",5.6K reviews,Beginner · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/people-and-soft-skills-for-professional-success,30
Medical Terminology,Rice University,,1K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/medicalterminology,30
The science of mind and decision making,University of Cambridge,,140 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/the-science-of-mind-and-decision-making,30
The Integration of Art and Science in Modern Dental Medicine,University of Pennsylvania,,2.3K reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/art-and-science-of-dental-medicine,30
Linear Algebra for Machine Learning and Data Science,DeepLearning.AI,,2.3K reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/machine-learning-linear-algebra,30
Google Network Security,Google,,64 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/google-network-security,30
AI Product Management,Duke University,,1.1K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/ai-product-management-duke,30
Six Sigma Yellow Belt,Kennesaw State University,,4.2K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/six-sigma-fundamentals,30
Keller Williams Real Estate Agent,Keller Williams,"Skills you'll gain: Lead Generation, Administrative Support, Real Estate, Office Management, Real Estate Sales, Value Propositions, Property and Real Estate, Sales Process, Customer Relationship Building, Database Management, Customer Acquisition Management, Sales Management, Client Services, Real Estate Transactions, Organizational Skills, Sales Prospecting, Sales Presentation, Contract Negotiation, Interpersonal Communications, Goal Setting",203 reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/keller-williams-real-estate-agent,30
Foundations of Data Science,Google,,3.9K reviews,Advanced · Course · 1 - 3 Months,https://www.coursera.org/learn/foundations-of-data-science,30
"Python for Data Science, AI & Development",IBM,,43K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/python-for-applied-data-science-ai,31
Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),Hebrew University of Jerusalem,,3.7K reviews,Mixed · Course · 1 - 3 Months,https://www.coursera.org/learn/build-a-computer,31
Everyday Parenting: The ABCs of Child Rearing,Yale University,,3.2K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/everyday-parenting,31
Étudier en France: French Intermediate course B1-B2,École Polytechnique,,5.2K reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/etudier-en-france,31
Primeros Auxilios Psicológicos (PAP),Universitat Autònoma de Barcelona,,11K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/pap,31
Generative AI in Adobe Creative Cloud,Adobe,,1.3K reviews,Beginner · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/generative-ai-in-adobe-creative-cloud,31
"TESOL Certificate, Part 2: Teach English Now!",Arizona State University,,4.5K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/tesol-certificate-2,31
Search Engine Optimization (SEO),"University of California, Davis",,13K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/seo,31
"Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization",DeepLearning.AI,,64K reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/deep-neural-network,31
AI Foundations for Business Professionals,"Saïd Business School, University of Oxford",,285 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/ai-foundations-business-professionals,31
An Introduction to American Law,University of Pennsylvania,,5.3K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/american-law,31
Algorithms,Stanford University,,6K reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/algorithms,31
Python 3 Programming,University of Michigan,,23K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/python-3-programming,32
Cryptography I,Stanford University,,4.5K reviews,Mixed · Course · 1 - 3 Months,https://www.coursera.org/learn/crypto,32
Clinical Trials Operations,Johns Hopkins University,,592 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/clinical-trials-operations,32
Work Smarter with Microsoft Word,Microsoft,,2.4K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/microsoft-word-work-smarter,32
AI-Powered Content Marketing and Strategy,Adobe,,1.3K reviews,Beginner · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/ai-powered-content-marketing-strategy,32
Renew your CBRS Professional Installer certification,Google - Spectrum Sharing,,,Advanced · Course · 1 - 3 Months,https://www.coursera.org/learn/google-cbrs-cpi-renewal,32
Data Science,Johns Hopkins University,,51K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/jhu-data-science,32
Six Sigma Green Belt,Kennesaw State University,,4.8K reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/six-sigma-green-belt,32
Methods and Statistics in Social Sciences,University of Amsterdam,"Skills you'll gain: Qualitative Research, Scientific Methods, Statistical Analysis, Statistical Hypothesis Testing, Research, Research Design, Sampling (Statistics), Research Reports, Science and Research, Interviewing Skills, Data Analysis, Data Collection, Research Methodologies, Social Sciences, Surveys, Quantitative Research, Statistics, Regression Analysis, Statistical Inference, R Programming",7.9K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/social-science,32
Build Wireframes and Low-Fidelity Prototypes,Google,,9.6K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/wireframes-low-fidelity-prototypes,32
Introduction to Generative AI,Google Cloud,,11K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/introduction-to-generative-ai,32
Introduction to Clinical Data,Stanford University,,498 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/introduction-clinical-data,32
Creative Writing,Wesleyan University,,6.4K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/creative-writing,33
Introductory Human Physiology,Duke University,,5.3K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/physiology,33
Introduction to Marketing,University of Pennsylvania,,13K reviews,Mixed · Course · 1 - 3 Months,https://www.coursera.org/learn/wharton-marketing,33
Contabilidad para no contadores,Universidad Nacional Autónoma de México,,9.7K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/contabilidad,33
Preparatory Certificate in Finance and Financial Markets,Corporate Finance Institute,,722 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/finance-and-financial-markets,33
Google Data Analytics Capstone: Complete a Case Study,Google,"Skills you'll gain: LinkedIn, Data Analysis, Data Processing, Spreadsheet Software, Case Studies, Google Sheets, Analysis, Analytical Skills, Interviewing Skills, AI Enablement, Data Storytelling, Data Visualization Software, Business Analytics, Artificial Intelligence, Portfolio Management, Research Reports, Data Cleansing, Data Visualization, Presentations",19K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/google-data-analytics-capstone,33
"Introduction to Biology: Ecology, Evolution, & Biodiversity",Rice University,,281 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/introduction-to-biology,33
Microsoft Back-End Developer,Microsoft,,304 reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/microsoft-back-end-developer,33
Geographic Information Systems (GIS),"University of California, Davis",,6.5K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/gis,33
Microsoft SQL Server,Microsoft,,227 reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/microsoft-sql-server,33
AI & Law,Lund University,,797 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/ai-law,33
Generative AI: Prompt Engineering Basics,IBM,,7.8K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/generative-ai-prompt-engineering-for-everyone,33
Data Structures and Algorithms,University of California San Diego,,17K reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/data-structures-algorithms,34
Social Psychology,Wesleyan University,,5.1K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/social-psychology,34
"Psychology of Anxiety, Mood, Substance Use, and Addictive Behaviors",American Psychological Association,,315 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/anxiety-mood-substance-addictive-behaviors,34
Data Science: Foundations using R,Johns Hopkins University,,48K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/data-science-foundations-r,34
Excel and Copilot Fundamentals,Microsoft,,322 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/excel-and-copilot-fundamentals,34
Introduction to Data Analytics,IBM,,20K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/introduction-to-data-analytics,34
Fundamentals of Quantitative Modeling,University of Pennsylvania,,9.4K reviews,Mixed · Course · 1 - 4 Weeks,https://www.coursera.org/learn/wharton-quantitative-modeling,34
"Psychology of Disorders Related to Trauma, Anxiety, & Stress",American Psychological Association,,241 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/psychology-of-disorders-related-to-trauma-anxiety-and-stress,34
Introduction to Social Media Marketing,Meta,,16K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/social-media-marketing-introduction,34
English for Career Development,University of Pennsylvania,"Skills you'll gain: English Language, Vocabulary, Writing, Business Writing, Interviewing Skills, Verbal Communication Skills, Social Skills, Professional Networking, Job Analysis, Business Communication, Communication, Recruitment",17K reviews,Mixed · Course · 1 - 3 Months,https://www.coursera.org/learn/careerdevelopment,34
Google Cloud Cybersecurity,Google Cloud,,414 reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/google-cloud-cybersecurity-certificate,34
Greek and Roman Mythology,University of Pennsylvania,,2.6K reviews,Mixed · Course · 1 - 3 Months,https://www.coursera.org/learn/mythology,34
Healthcare Law,University of Pennsylvania,,611 reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/healthcare-law,35
Microsoft Generative AI Engineering,Microsoft,,7 reviews,Intermediate · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/microsoft-generative-ai-engineering,35
Chinese for Beginners,Peking University,,20K reviews,Mixed · Course · 1 - 3 Months,https://www.coursera.org/learn/learn-chinese,35
Google Data Analysis with Python,Google,,111 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/google-data-analysis-with-python,35
Artificial Intelligence in Marketing,University of Virginia,,351 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/uva-darden-artificial-intelligence-marketing,35
Adobe Digital Marketing Strategy,Adobe,,728 reviews,Beginner · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/adobe-digital-marketing-strategy,35
Generative AI for Executives and Business Leaders,IBM,,693 reviews,Intermediate · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/generative-ai-for-executives-and-business-leaders,35
Vivre avec le TDAH à travers les âges,University of Geneva,"Skills you'll gain: Family Support, Psychological Evaluations, Behavioral Health, Mental Concentration, Organizational Skills, Mental and Behavioral Health, Mental Health Diseases and Disorders, Student Support and Services, Working With Children, Neurology, Medication Therapy Management, Clinical Assessment, Pharmacology",322 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/tdah,35
Organizational Analysis,Stanford University,,1.7K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/organizational-analysis,35
AI for Finance,AI Business School,,36 reviews,Beginner · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/ai-for-finance,35
Automate Cybersecurity Tasks with Python,Google,,3.5K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/automate-cybersecurity-tasks-with-python,35
Business Value and Project Management,University of Illinois Urbana-Champaign,,7.7K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/business-value-project-management,35
Sound the Alarm: Detection and Response,Google,,3.3K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/detection-and-response,36
Introduction to Engineering Mechanics,Georgia Institute of Technology,,5.1K reviews,Mixed · Course · 1 - 3 Months,https://www.coursera.org/learn/engineering-mechanics-statics,36
IBM Systems and Solutions Architect,IBM,,305 reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-systems-and-solutions-architect,36
Tableau Business Intelligence Analyst,Tableau Learning Partner,,1.2K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/tableau-business-intelligence-analyst,36
Introduction to Electronics,Georgia Institute of Technology,,2.6K reviews,Mixed · Course · 1 - 3 Months,https://www.coursera.org/learn/electronics,36
Introduction to Artificial Intelligence (AI),IBM,,23K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/introduction-to-ai,36
Management Consulting,Emory University,"Skills you'll gain: Data Cleansing, Presentations, Consulting, Microsoft PowerPoint, Management Consulting, Executive Presence, Business Consulting, Benchmarking, Microsoft Excel, Storytelling, Sales Presentations, Data Storytelling, Proposal Development, Oral Expression, Business Research, Lean Six Sigma, Interviewing Skills, Six Sigma Methodology, Problem Solving, Consultative Approaches",2.3K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/managementconsulting,36
Meta Marketing Science Certification Prep,Meta,,3K reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/meta-marketing-science-certification-prep,36
Unilever Supply Chain Data Analyst,Unilever,,643 reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/unilever-supply-chain-data-analyst,36
Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,Yale University,,5.2K reviews,Mixed · Course · 1 - 3 Months,https://www.coursera.org/learn/negotiation,36
SEO Mastery: From Fundamentals to GenAI and GEO Strategies,IBM,,56 reviews,Intermediate · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/seo-mastery-from-fundamentals-to-genai-and-geo-strategies,36
Introduction to Calculus,The University of Sydney,,4K reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/introduction-to-calculus,36
Fundamentals of Finance,University of Pennsylvania,,1.1K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/finance-fundamentals,37
Agile Development,University of Virginia,,4.9K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/agile-development,37
Introduction to Corporate Finance,University of Pennsylvania,,6.4K reviews,Mixed · Course · 1 - 4 Weeks,https://www.coursera.org/learn/wharton-finance,37
Global Procurement and Sourcing,Rutgers the State University of New Jersey,,2.7K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/procurement-sourcing,37
Human Resources Management and GenAI,Coursera,,356 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/human-resources-management-and-genai,37
Astronomy: Exploring Time and Space,University of Arizona,,4K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/astro,37
AI Applications in Marketing and Finance,University of Pennsylvania,,485 reviews,Mixed · Course · 1 - 4 Weeks,https://www.coursera.org/learn/wharton-ai-applications-marketing-finance,37
Accelerate Your Job Search with AI,Google,"Skills you'll gain: Interviewing Skills, Applicant Tracking Systems, Communication, Google Gemini, Professional Development, AI Enablement, Value Propositions, Business Writing, Adaptability, Google Sheets, Generative AI, Timelines, HR Tech, Personal Attributes, Professional Networking",68 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/google-accelerate-your-job-search-with-ai,37
Six Sigma Black Belt,Kennesaw State University,,835 reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/six-sigma-black-belt,37
"JavaScript Programming with React, Node & MongoDB",IBM,,1.4K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/javascript-programming-with-react-node-mongodb,37
International Law in Action: the Arbitration of International Disputes,Universiteit Leiden,,1.3K reviews,Mixed · Course · 1 - 3 Months,https://www.coursera.org/learn/arbitration-international-disputes,37
"Creative Design Tools: Adobe Photoshop, Illustrator, Acrobat",Adobe,,635 reviews,Beginner · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/creative-design-tools-adobe-photoshop-illustrator-acrobat,37
Excel Basics for Data Analysis,IBM,,11K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/excel-basics-data-analysis-ibm,38
The Business of Music Production,Berklee,,5.3K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/business-music-production,38
